mileage,price
77441.0,12880.0
52879.0,10995.0
74141.0,19995.0
63559.0,14495.0
63559.0,14495.0
58349.0,16885.0
58349.0,16885.0
79713.0,14495.0
91534.0,12688.0
59151.0,16985.0
63277.0,12985.0
71407.0,11985.0
94745.0,17815.0
157000.0,2200.0
109000.0,9998.0
189200.0,5400.0
75620.0,13495.0
145000.0,9000.0
98000.0,11888.0
92000.0,7999.0
189000.0,3800.0
115113.0,8995.0
27800.0,13500.0
139000.0,9000.0
64091.0,11990.0
44813.0,18588.0
47837.0,13588.0
38908.0,13288.0
166415.0,4500.0
74885.0,13499.0
44959.0,12498.0
48000.0,18999.0
180000.0,4200.0
66196.0,12995.0
65761.0,11995.0
52879.0,10995.0
62321.0,18988.0
108725.0,8999.0
144754.0,9988.0
68959.0,12288.0
145432.0,10000.0
78000.0,11500.0
103332.0,10995.0
90286.0,11500.0
71567.0,13900.0
62222.0,12500.0
46600.0,16500.0
90561.0,13999.0
54640.0,13290.0
168240.0,5000.0
96077.0,12988.0
72241.0,12188.0
72150.0,12188.0
84450.0,12988.0
68216.0,12288.0
59141.0,12508.0
55600.0,12588.0
104357.0,11985.0
35019.0,16999.0
78831.0,11500.0
143504.0,7950.0
64252.0,12388.0
60378.0,8488.0
48459.0,12500.0
87558.0,12400.0
185000.0,7500.0
78000.0,12000.0
74200.0,16000.0
224000.0,4000.0
230000.0,2300.0
24426.0,13900.0
410000.0,900.0
165500.0,4995.0
198000.0,3495.0
130000.0,8777.0
86534.0,11990.0
129056.0,3900.0
94042.0,11995.0
90093.0,11995.0
93695.0,10995.0
75000.0,10500.0
85883.0,15973.0
77608.0,12988.0
75000.0,11988.0
101000.0,15988.0
240000.0,1000.0
83417.0,9988.0
120054.0,8795.0
79240.0,12588.0
17156.0,18888.0
49472.0,14888.0
99293.0,6595.0
65966.0,13400.0
147000.0,6850.0
156000.0,7000.0
97957.0,10488.0
84856.0,11788.0
57001.0,12588.0
70179.0,12088.0
22239.0,13788.0
59178.0,12388.0
53686.0,12488.0
63987.0,12088.0
77797.0,11788.0
31500.0,13088.0
81502.0,11888.0
72422.0,13599.0
59097.0,13599.0
60000.0,12799.0
85461.0,14800.0
121342.0,15800.0
57000.0,9500.0
89000.0,9999.0
